session_id,channel,method,bp,bp_x,warning,power
ID01_01,smo2_dom,raw,1,845.5494268278342,NA,154.5549426827834
ID01_01,smo2_dom,raw,2,1882.5626679298562,NA,258.2562667929856
ID01_01,smo2_dom,mean,1,126.02726724588555,NA,126.02726724588555
ID01_01,smo2_dom,mean,2,239.37364281067153,NA,239.37364281067153
ID01_01,smo2_dom,slope,1,NA,NA,NA
ID01_01,smo2_dom,slope,2,NA,NA,NA
ID01_01,smo2_dom,ratio,1,160.0001,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,160.0001
ID01_01,smo2_dom,ratio,2,249.9999,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,249.9999
ID01_01,smo2_dom,Log-log,1,239.9,NA,239.9
ID01_01,smo2_dom,Dmax,2,231.07247912717807,NA,231.07247912717807
ID01_01,smo2_dom,ModDmax,2,260.8645935742119,NA,260.8645935742119
ID01_01,smo2_dom,Log-log.ratio,1,146.5,NA,146.5
ID01_01,smo2_dom,Dmax.ratio,2,151.2167835538675,NA,151.2167835538675
ID01_01,smo2_dom,ModDmax.ratio,2,247.22657649101734,NA,247.22657649101734
ID01_01,smo2_dom,poly,1,186.87578320519944,NA,186.87578320519944
ID01_01,smo2_dom,poly,2,NA,NA,NA
ID01_01,smo2_ndom,raw,1,903.8010828285792,NA,160.38010828285792
ID01_01,smo2_ndom,raw,2,1744.7545913807792,NA,244.4754591380779
ID01_01,smo2_ndom,mean,1,111.48668071279617,NA,111.48668071279617
ID01_01,smo2_ndom,mean,2,185.182341506395,NA,185.182341506395
ID01_01,smo2_ndom,slope,1,NA,NA,NA
ID01_01,smo2_ndom,slope,2,NA,NA,NA
ID01_01,smo2_ndom,ratio,1,145.33794846698245,NA,145.33794846698245
ID01_01,smo2_ndom,ratio,2,209.89705975848793,NA,209.89705975848793
ID01_01,smo2_ndom,Log-log,1,177.8,NA,177.8
ID01_01,smo2_ndom,Dmax,2,175.02563267076638,NA,175.02563267076638
ID01_01,smo2_ndom,ModDmax,2,214.78238978667713,NA,214.78238978667713
ID01_01,smo2_ndom,Log-log.ratio,1,197,NA,197
ID01_01,smo2_ndom,Dmax.ratio,2,200.7349195629669,NA,200.7349195629669
ID01_01,smo2_ndom,ModDmax.ratio,2,238.29185405161556,NA,238.29185405161556
ID01_01,smo2_ndom,poly,1,103.54801390615435,NA,103.54801390615435
ID01_01,smo2_ndom,poly,2,235.97768733167715,NA,235.97768733167715
ID01_01,smo2_avg,raw,1,516.4010584679236,NA,121.64010584679235
ID01_01,smo2_avg,raw,2,1084.7183290540972,NA,178.4718329054097
ID01_01,smo2_avg,mean,1,160.0001,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,160.0001
ID01_01,smo2_avg,mean,2,249.9999,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,249.9999
ID01_01,smo2_avg,slope,1,NA,NA,NA
ID01_01,smo2_avg,slope,2,NA,NA,NA
ID01_01,smo2_avg,ratio,1,148.54783496202413,NA,148.54783496202413
ID01_01,smo2_avg,ratio,2,200.3072954887532,NA,200.3072954887532
ID01_01,smo2_avg,Log-log,1,142.2,NA,142.2
ID01_01,smo2_avg,Dmax,2,145.4436200053239,NA,145.4436200053239
ID01_01,smo2_avg,ModDmax,2,241.414724122274,NA,241.414724122274
ID01_01,smo2_avg,Log-log.ratio,1,171.9,NA,171.9
ID01_01,smo2_avg,Dmax.ratio,2,177.85562188363647,NA,177.85562188363647
ID01_01,smo2_avg,ModDmax.ratio,2,215.41961357151266,NA,215.41961357151266
ID01_01,smo2_avg,poly,1,86.9058708373852,NA,86.9058708373852
ID01_01,smo2_avg,poly,2,210.57456235572386,NA,210.57456235572386
ID01_02,smo2_dom,raw,1,658.6299495819321,NA,135.8629949581932
