rater,session_id,channel,method,bp,bp_x,power,identifiable,bp2_type
Rater_A,ID01_01,smo2_dom,visual,1,329.087659680039,102.9087659680039,TRUE,NA
Rater_A,ID01_01,smo2_dom,visual,2,1570.3295633461912,227.03295633461914,TRUE,flat
Rater_A,ID01_01,smo2_ndom,visual,1,905.5537611850702,160.555376118507,TRUE,NA
Rater_A,ID01_01,smo2_ndom,visual,2,1555.6112799035095,225.56112799035094,TRUE,deoxy
Rater_A,ID01_01,smo2_avg,visual,1,608.7350450909903,130.87350450909904,TRUE,NA
Rater_A,ID01_01,smo2_avg,visual,2,1521.2686185372525,222.12686185372525,TRUE,deoxy
Rater_A,ID01_02,smo2_dom,visual,1,875.8877862884882,157.58877862884884,TRUE,NA
Rater_A,ID01_02,smo2_dom,visual,2,NA,NA,FALSE,NA
Rater_A,ID01_02,smo2_ndom,visual,1,935.2440807795326,163.52440807795327,TRUE,NA
Rater_A,ID01_02,smo2_ndom,visual,2,1521.387488878596,222.1387488878596,TRUE,deoxy
Rater_A,ID01_02,smo2_avg,visual,1,861.0487126657271,156.10487126657273,TRUE,NA
Rater_A,ID01_02,smo2_avg,visual,2,1321.0599949713212,202.10599949713213,TRUE,flat
Rater_A,ID01_03,smo2_dom,visual,1,867.1626572680946,156.71626572680947,TRUE,NA
Rater_A,ID01_03,smo2_dom,visual,2,1536.517413839061,223.65174138390609,TRUE,deoxy
Rater_A,ID01_03,smo2_ndom,visual,1,915.3176757264375,161.53176757264376,TRUE,NA
Rater_A,ID01_03,smo2_ndom,visual,2,1762.8460005932727,246.2846000593273,TRUE,deoxy
Rater_A,ID01_03,smo2_avg,visual,1,896.0556683431004,159.60556683431003,TRUE,NA
Rater_A,ID01_03,smo2_avg,visual,2,1606.3421906036583,230.6342190603658,TRUE,deoxy
Rater_A,ID02_01,smo2_dom,visual,1,714.9024858326978,219.15041430544966,TRUE,NA
Rater_A,ID02_01,smo2_dom,visual,2,1231.7636663926878,305.2939443987813,TRUE,deoxy
Rater_A,ID02_01,smo2_ndom,visual,1,650.294838262699,208.3824730437832,TRUE,NA
Rater_A,ID02_01,smo2_ndom,visual,2,1214.1433988735973,302.3572331455996,TRUE,deoxy
Rater_A,ID02_01,smo2_avg,visual,1,642.4636082542144,207.07726804236904,TRUE,NA
Rater_A,ID02_01,smo2_avg,visual,2,1220.016821379961,303.33613689666015,TRUE,deoxy
Rater_A,ID02_02,smo2_dom,visual,1,887.5073985134283,247.91789975223804,TRUE,NA
Rater_A,ID02_02,smo2_dom,visual,2,1229.0416326880884,304.8402721146814,TRUE,deoxy
Rater_A,ID02_02,smo2_ndom,visual,1,920.8756857603778,253.47928096006297,TRUE,NA
Rater_A,ID02_02,smo2_ndom,visual,2,1244.7443560984177,307.45739268306966,TRUE,deoxy
Rater_A,ID02_02,smo2_avg,visual,1,913.0243240552131,252.17072067586884,TRUE,NA
Rater_A,ID02_02,smo2_avg,visual,2,1232.9673135406708,305.4945522567785,TRUE,deoxy
Rater_A,ID02_03,smo2_dom,visual,1,875.7151832913501,245.95253054855834,TRUE,NA
Rater_A,ID02_03,smo2_dom,visual,2,1628.374900723781,371.39581678729684,TRUE,flat
Rater_A,ID02_03,smo2_ndom,visual,1,882.7934878440061,247.13224797400102,TRUE,NA
Rater_A,ID02_03,smo2_ndom,visual,2,1585.9050734078444,364.31751223464073,TRUE,flat
Rater_A,ID02_03,smo2_avg,visual,1,873.3557484404647,245.5592914067441,TRUE,NA
Rater_A,ID02_03,smo2_avg,visual,2,1571.748464302532,361.9580773837553,TRUE,flat
Rater_A,ID03_01,smo2_dom,visual,1,578.2128714483081,162.09504952644107,TRUE,NA
Rater_A,ID03_01,smo2_dom,visual,2,1554.0706968012246,292.2094262401633,TRUE,flat
Rater_A,ID03_01,smo2_ndom,visual,1,578.2128714483081,162.09504952644107,TRUE,NA
Rater_A,ID03_01,smo2_ndom,visual,2,1554.0706968012246,292.2094262401633,TRUE,flat
Rater_A,ID03_01,smo2_avg,visual,1,583.0082415974624,162.734432212995,TRUE,NA
Rater_A,ID03_01,smo2_avg,visual,2,1549.2753266520701,291.57004355360937,TRUE,flat
Rater_A,ID03_02,smo2_dom,visual,1,592.2532353550129,163.96709804733504,TRUE,NA
Rater_A,ID03_02,smo2_dom,visual,2,1558.9773099242548,292.863641323234,TRUE,flat
Rater_A,ID03_02,smo2_ndom,visual,1,565.1257740788352,160.35010321051135,TRUE,NA
Rater_A,ID03_02,smo2_ndom,visual,2,1541.7143800212325,290.56191733616436,TRUE,flat
Rater_A,ID03_02,smo2_avg,visual,1,562.6596412355462,160.0212854980728,TRUE,NA
Rater_A,ID03_02,smo2_avg,visual,2,1544.1805128645215,290.8907350486029,TRUE,flat
Rater_A,ID04_01,smo2_dom,visual,1,573.2071557682868,122.32071557682869,TRUE,NA
Rater_A,ID04_01,smo2_dom,visual,2,1891.1890740085855,254.11890740085855,TRUE,flat
Rater_A,ID04_01,smo2_ndom,visual,1,869.7530873723541,151.97530873723542,TRUE,NA
Rater_A,ID04_01,smo2_ndom,visual,2,1868.3778485005803,251.83778485005803,TRUE,flat
Rater_A,ID04_01,smo2_avg,visual,1,563.0688333202846,121.30688333202846,TRUE,NA
Rater_A,ID04_01,smo2_avg,visual,2,1858.2395260525782,250.82395260525783,TRUE,flat
Rater_A,ID04_02,smo2_dom,visual,1,560.1538669996755,121.01538669996756,TRUE,NA
Rater_A,ID04_02,smo2_dom,visual,2,1860.8869475246277,251.08869475246277,TRUE,flat
Rater_A,ID04_02,smo2_ndom,visual,1,856.0173340862938,150.6017334086294,TRUE,NA
Rater_A,ID04_02,smo2_ndom,visual,2,1850.2252009629476,250.02252009629476,TRUE,flat
Rater_A,ID04_02,smo2_avg,visual,1,589.4736700442954,123.94736700442954,TRUE,NA
Rater_A,ID04_02,smo2_avg,visual,2,1860.8869475246277,251.08869475246277,TRUE,flat
Rater_A,ID04_03,smo2_dom,visual,1,819.6907879594725,146.96907879594724,TRUE,NA
Rater_A,ID04_03,smo2_dom,visual,2,1873.0838299053917,252.30838299053917,TRUE,flat
Rater_A,ID04_03,smo2_ndom,visual,1,822.1810788387772,147.21810788387774,TRUE,NA
Rater_A,ID04_03,smo2_ndom,visual,2,NA,NA,FALSE,NA
Rater_A,ID04_03,smo2_avg,visual,1,859.5354420283488,150.95354420283488,TRUE,NA
Rater_A,ID04_03,smo2_avg,visual,2,1845.6906302330392,249.56906302330393,TRUE,flat
Rater_A,ID03_03,smo2_dom,visual,1,593.761846700104,164.16824622668054,TRUE,NA
Rater_A,ID03_03,smo2_dom,visual,2,1671.0975155074393,307.81300206765854,TRUE,flat
Rater_A,ID03_03,smo2_ndom,visual,1,579.1703929465058,162.22271905953409,TRUE,NA
Rater_A,ID03_03,smo2_ndom,visual,2,1568.9573392322518,294.1943118976336,TRUE,flat
Rater_A,ID03_03,smo2_avg,visual,1,586.4661198233049,163.1954826431073,TRUE,NA
Rater_A,ID03_03,smo2_avg,visual,2,1573.8211571501179,294.842820953349,TRUE,flat
Rater_A,ID05_01,smo2_dom,visual,1,552.5026803857784,134.45864604500747,TRUE,NA
Rater_A,ID05_01,smo2_dom,visual,2,1829.5165958824616,283.44360285295386,TRUE,flat
Rater_A,ID05_01,smo2_ndom,visual,1,535.7732404447738,132.50687805189028,TRUE,NA
Rater_A,ID05_01,smo2_ndom,visual,2,1849.0342758136335,285.7206655115906,TRUE,flat
Rater_A,ID05_01,smo2_avg,visual,1,538.5614804349412,132.8321727174098,TRUE,NA
Rater_A,ID05_01,smo2_avg,visual,2,1840.6695558431313,284.74478151503195,TRUE,flat
Rater_A,ID05_02,smo2_dom,visual,1,576.740588947401,137.28640204386346,TRUE,NA
Rater_A,ID05_02,smo2_dom,visual,2,1852.8022751911244,286.16026543896453,TRUE,flat
Rater_A,ID05_02,smo2_ndom,visual,1,579.6808232475017,137.62942937887522,TRUE,NA
Rater_A,ID05_02,smo2_ndom,visual,2,1838.1011036906207,284.4451287639057,TRUE,flat
Rater_A,ID05_02,smo2_avg,visual,1,576.740588947401,137.28640204386346,TRUE,NA
Rater_A,ID05_02,smo2_avg,visual,2,1861.6229780914266,287.18934744399974,TRUE,flat
Rater_A,ID05_03,smo2_dom,visual,1,586.6021841774312,138.436921487367,TRUE,NA
Rater_A,ID05_03,smo2_dom,visual,2,1571.8192353168376,253.37891078696438,TRUE,flat
Rater_A,ID05_03,smo2_ndom,visual,1,881.0664983447958,172.7910914735595,TRUE,NA
Rater_A,ID05_03,smo2_ndom,visual,2,1852.5235348034842,286.12774572707315,TRUE,flat
Rater_A,ID05_03,smo2_avg,visual,1,881.0664983447958,172.7910914735595,TRUE,NA
Rater_A,ID05_03,smo2_avg,visual,2,1871.7875553564893,288.3752147915904,TRUE,flat
Rater_A,ID06_01,smo2_dom,visual,1,1223.1314413763114,212.69866816056964,TRUE,NA
Rater_A,ID06_01,smo2_dom,visual,2,2175.3506284876785,323.7909066568958,TRUE,flat
Rater_A,ID06_01,smo2_ndom,visual,1,1220.3713857614957,212.3766616721745,TRUE,NA
Rater_A,ID06_01,smo2_ndom,visual,2,2131.18973865063,318.63880284257345,TRUE,flat
Rater_A,ID06_01,smo2_avg,visual,1,1203.8110520726025,210.4446227418036,TRUE,NA
Rater_A,ID06_01,smo2_avg,visual,2,2122.909571806183,317.672783377388,TRUE,flat
Rater_A,ID06_02,smo2_dom,visual,1,896.675620009582,174.61215566778458,TRUE,NA
Rater_A,ID06_02,smo2_dom,visual,2,1784.9364067688775,278.2425807897024,TRUE,deoxy
Rater_A,ID06_02,smo2_ndom,visual,1,1222.104496840315,212.57885796470342,TRUE,NA
Rater_A,ID06_02,smo2_ndom,visual,2,2107.6978337895225,315.8980806087776,TRUE,deoxy
Rater_A,ID06_02,smo2_avg,visual,1,1200.7648983596112,210.08923814195464,TRUE,NA
Rater_A,ID06_02,smo2_avg,visual,2,1792.9387561991414,279.17618822323317,TRUE,deoxy
Rater_A,ID06_03,smo2_dom,visual,1,1194.8514094576162,209.39933110338856,TRUE,NA
Rater_A,ID06_03,smo2_dom,visual,2,2109.039808370967,316.0546443099462,TRUE,deoxy
Rater_A,ID06_03,smo2_ndom,visual,1,558.1844887858184,135.12152369167882,TRUE,NA
Rater_A,ID06_03,smo2_ndom,visual,2,2353.9117009370434,344.6230317759884,TRUE,deoxy
Rater_A,ID06_03,smo2_avg,visual,1,615.3212637179029,141.78748076708865,TRUE,NA
Rater_A,ID06_03,smo2_avg,visual,2,2117.2022047898363,317.0069238921476,TRUE,deoxy
Rater_A,ID07_01,smo2_dom,visual,1,552.560190395705,134.4653555461656,TRUE,NA
Rater_A,ID07_01,smo2_dom,visual,2,1550.9494106727764,250.94409791182392,TRUE,flat
Rater_A,ID07_01,smo2_ndom,visual,1,475.3209097438973,125.45410613678803,TRUE,NA
Rater_A,ID07_01,smo2_ndom,visual,2,2137.3958008068726,319.3628434274685,TRUE,flat
Rater_A,ID07_01,smo2_avg,visual,1,478.1816238421124,125.7878561149131,TRUE,NA
Rater_A,ID07_01,smo2_avg,visual,2,1945.7279562264605,297.00159489308703,TRUE,flat
Rater_A,ID07_02,smo2_dom,visual,1,558.6216372405875,135.1725243447352,TRUE,NA
Rater_A,ID07_02,smo2_dom,visual,2,1550.9854407013618,250.94830141515888,TRUE,flat
Rater_A,ID07_02,smo2_ndom,visual,1,566.711559551409,136.11634861433106,TRUE,NA
Rater_A,ID07_02,smo2_ndom,visual,2,1863.7957700531276,287.44283983953153,TRUE,flat
Rater_A,ID07_02,smo2_avg,visual,1,561.3182780108614,135.48713243460048,TRUE,NA
Rater_A,ID07_02,smo2_avg,visual,2,1839.526003120663,284.611367030744,TRUE,flat
Rater_A,ID07_03,smo2_dom,visual,1,590.5739806542043,138.90029774299052,TRUE,NA
Rater_A,ID07_03,smo2_dom,visual,2,1860.9404099071814,287.10971448917115,TRUE,flat
Rater_A,ID07_03,smo2_ndom,visual,1,605.1090656570988,140.59605765999487,TRUE,NA
Rater_A,ID07_03,smo2_ndom,visual,2,2387.1104870119616,348.49622348472883,TRUE,flat
Rater_A,ID07_03,smo2_avg,visual,1,535.3406576432053,132.45641005837393,TRUE,NA
Rater_A,ID07_03,smo2_avg,visual,2,2145.8280759639133,320.34660886245655,TRUE,flat
Rater_A,ID08_01,smo2_dom,visual,1,302.3702745838352,135.35554118757528,TRUE,NA
Rater_A,ID08_01,smo2_dom,visual,2,1304.3006603069023,285.64509904603534,TRUE,flat
Rater_A,ID08_01,smo2_ndom,visual,1,287.36008153929487,133.10401223089423,TRUE,NA
Rater_A,ID08_01,smo2_ndom,visual,2,1291.1667413929295,283.6750112089394,TRUE,flat
Rater_A,ID08_01,smo2_avg,visual,1,287.36008153929487,133.10401223089423,TRUE,NA
Rater_A,ID08_01,smo2_avg,visual,2,1300.5481120457673,285.0822168068651,TRUE,flat
Rater_A,ID08_02,smo2_dom,visual,1,887.8655670046394,223.1798350506959,TRUE,NA
Rater_A,ID08_02,smo2_dom,visual,2,1284.6733875836585,282.7010081375488,TRUE,flat
Rater_A,ID08_02,smo2_ndom,visual,1,529.3462203411395,169.40193305117094,TRUE,NA
Rater_A,ID08_02,smo2_ndom,visual,2,1321.2214763211996,288.1832214481799,TRUE,flat
Rater_A,ID08_02,smo2_avg,visual,1,524.125064807205,168.61875972108075,TRUE,NA
Rater_A,ID08_02,smo2_avg,visual,2,1298.5964690074836,284.78947035112253,TRUE,flat
Rater_A,ID08_03,smo2_dom,visual,1,296.9026723720166,134.5354008558025,TRUE,NA
Rater_A,ID08_03,smo2_dom,visual,2,1285.1394780134094,282.7709217020114,TRUE,flat
Rater_A,ID08_03,smo2_ndom,visual,1,573.2021566250991,175.98032349376484,TRUE,NA
Rater_A,ID08_03,smo2_ndom,visual,2,1268.188589408926,280.2282884113389,TRUE,flat
Rater_A,ID08_03,smo2_avg,visual,1,568.116890043754,175.2175335065631,TRUE,NA
Rater_A,ID08_03,smo2_avg,visual,2,1278.3591225716161,281.7538683857424,TRUE,flat
Rater_A,ID09_01,smo2_dom,visual,1,882.4502427237682,172.95252831777293,TRUE,NA
Rater_A,ID09_01,smo2_dom,visual,2,1513.4913607583655,246.573992088476,TRUE,flat
Rater_A,ID09_01,smo2_ndom,visual,1,647.2234460370365,145.50940203765427,TRUE,NA
Rater_A,ID09_01,smo2_ndom,visual,2,1827.8810217146702,283.2527858667115,TRUE,flat
Rater_A,ID09_01,smo2_avg,visual,1,629.129077061134,143.398392323799,TRUE,NA
Rater_A,ID09_01,smo2_avg,visual,2,1812.0484488607556,281.4056523670881,TRUE,flat
Rater_A,ID09_02,smo2_dom,visual,1,879.8718603217696,172.6517170375398,TRUE,NA
Rater_A,ID09_02,smo2_dom,visual,2,1851.5251808230873,286.01127109602686,TRUE,flat
Rater_A,ID09_02,smo2_ndom,visual,1,871.0984669086653,171.6281544726776,TRUE,NA
Rater_A,ID09_02,smo2_ndom,visual,2,NA,NA,FALSE,NA
Rater_A,ID09_02,smo2_avg,visual,1,873.2918152619413,171.88404511389314,TRUE,NA
Rater_A,ID09_02,smo2_avg,visual,2,1851.5251808230873,286.01127109602686,TRUE,flat
Rater_A,ID09_03,smo2_dom,visual,1,884.6513327553271,173.20932215478814,TRUE,NA
Rater_A,ID09_03,smo2_dom,visual,2,1604.645359154937,257.2086252347426,TRUE,flat
Rater_A,ID09_03,smo2_ndom,visual,1,886.8134769787493,173.46157231418744,TRUE,NA
Rater_A,ID09_03,smo2_ndom,visual,2,1559.2403304630698,251.91137188735814,TRUE,flat
Rater_A,ID09_03,smo2_avg,visual,1,886.8134769787493,173.46157231418744,TRUE,NA
Rater_A,ID09_03,smo2_avg,visual,2,1576.537484250448,253.92937316255228,TRUE,flat
Rater_A,ID10_01,smo2_dom,visual,1,884.657974517844,247.44299575297399,TRUE,NA
Rater_A,ID10_01,smo2_dom,visual,2,1697.5175045322076,382.9195840887013,TRUE,deoxy
Rater_A,ID10_01,smo2_ndom,visual,1,819.3024344161867,236.5504057360311,TRUE,NA
Rater_A,ID10_01,smo2_ndom,visual,2,1619.9078006614893,369.9846334435816,TRUE,deoxy
Rater_A,ID10_01,smo2_avg,visual,1,764.1586974554132,227.35978290923555,TRUE,NA
Rater_A,ID10_01,smo2_avg,visual,2,1713.856389557622,385.642731592937,TRUE,deoxy
Rater_A,ID10_02,smo2_dom,visual,1,846.4328637675452,241.07214396125752,TRUE,NA
Rater_A,ID10_02,smo2_dom,visual,2,1627.321246284545,371.22020771409086,TRUE,deoxy
Rater_A,ID10_02,smo2_ndom,visual,1,590.5512606330336,198.42521010550558,TRUE,NA
Rater_A,ID10_02,smo2_ndom,visual,2,NA,NA,FALSE,NA
Rater_A,ID10_02,smo2_avg,visual,1,581.5238934959555,196.9206489159926,TRUE,NA
Rater_A,ID10_02,smo2_avg,visual,2,NA,NA,FALSE,NA
Rater_A,ID10_03,smo2_dom,visual,1,625.1272806533785,204.18788010889642,TRUE,NA
